posted_date,occurrence_date,time,city,state,shape,duration,summary
7/31/21,6/10/21,22:30,Fayette,ME,Circle,8 min.,Large bright orange disk or sphere seen at night hovering and crossing the lake outside our summer camp.
7/31/21,6/8/21,16:05,Sanleandro,CA,Rectangle,3 min,Dark grey rectangular object hovering above trees.
7/31/21,6/8/21,01:00,Chilmark,MA,Unknown,5 min,Erratic light zips around Martha’s Vineyard.
7/31/21,6/7/21,21:00,Marietta,OH,Unknown,20 minutes,Very slow moving craft with red and green lights accelerating at incredible speed.
7/31/21,6/5/21,11:32,Charlotte,NC,Unknown,2 hours or more,Light moving around in circles in the clouds. Small light looking like a star appearing and disappearing.
7/31/21,6/4/21,22:15,Land O'Lakes,FL,Light,15 minutes,Bright white circle craft that moved in bouncing figure 8 movements and pulsated different colors.
7/31/21,6/4/21,21:00,Milton,VT,Fireball,1 minute,Orange glowing orb that changed directions and was silent.
7/31/21,6/4/21,20:30,Carbondale,CO,Sphere,30 sec,Round chrome object zips back and forth erratically through isolated down pour reflecting sun flashes before it froze and disappeared.
7/31/21,6/4/21,17:56,San Pedro,CA,Unknown,3 minutes,Floating shade above an old base on the ocean in San Pedro.
7/31/21,6/3/21,20:02,Woodland Hills,CA,Sphere,one minute,Steeply ascending small round object with trail separated from it and moved chaotically then disappeared and reappeared.
7/31/21,6/3/21,11:30,Leominster,MA,Circle,5 to 6 seconds,Large orange reddish circle floating still above homes.
7/31/21,6/2/21,22:00,University city,MO,Light,30 min,Many flashing and floating lights in trees surrounding my house.
7/31/21,6/1/21,21:56,Canoga Park,CA,Light,Two Minutes,This UAP looked just like the planet Venus white and blue light except th three times as bright and was moving.
7/31/21,5/31/21,21:15,Wake Forest,NC,Light,20-30 seconds,I witnessed a very bright light in the sky last night moving east than slowing down and dimming out.
7/31/21,5/31/21,18:00,Katy,TX,Light,1 or 2 seconds,Brief two second sighting of bright red light traversing the sky at low altitude in a crescent shape trajectory.
7/31/21,5/31/21,17:00,El Paso,TX,Changing,10 min,Two high altitude objects interacting with each other. Hovering. And rotating while in a hover.
7/31/21,5/31/21,00:06,Fallbrook,CA,Circle,30min,Softball size lighted object with black strap hovering over garden 4ft from my bedroom window.
7/31/21,5/30/21,21:12,Jacksonville,FL,Oval,9 minutes,still craft hangs in sky flashing a sequence of three lights then falls out of the sky and vanishes.
7/31/21,5/30/21,16:55,Little Rock,AR,Circle,10 minutes,Craft seen in the sky and video taped.
7/31/21,5/29/21,21:20,Stoneman Lake,AZ,Circle,5 minutes,Slow 20 plus circular lights in straight formation disappearing into each other. Haze around each circular light.
7/31/21,5/28/21,22:10,Perry,OK,Light,3 minutes,Orange Ribbon of light in the night sky.
7/31/21,5/28/21,12:10,Central Point,OR,Cigar,40 seconds,Cylinder shaped object at mid-day in clear weather moves slowly across sky and disappears.
7/31/21,5/28/21,09:45,Grand Rapids,MN,Light,50 seconds,UFO allowed my awareness of its presence known for the second night this week.
7/31/21,5/27/21,22:20,Sandy,UT,Light,2 minutes,A object presenting characteristics that are not consistent with the SpaceX satellite formation.
7/31/21,5/27/21,22:00,Oxford,CT,Light,30 sec,Three bright white lights in synchronized flight.
7/31/21,5/26/21,22:00,Clovis,NM,Light,00:15,Rectangle shape light near Air Force Base.
7/31/21,5/26/21,21:30,Gloucester,VA,Oval,3 seconds,Oval blinking light craft traveled horizontally then vertically at high speed.
7/31/21,5/26/21,21:17,Las Vegas,NV,Light,20 seconds,I saw a light that moved side to side and up and down then flashed bright with a baby blue color and a hazy blue aura around it.
7/31/21,5/23/21,15:45,Sherman Oaks,CA,Sphere,15 minutes,6 or 7 white metallic spheres hovering over burbank blvd in sherman oaks/van nuys.
7/31/21,5/22/21,23:30,Syosset,NY,Formation,3 minutes,Saw 3 bright white lights in the sky in a stacked vertical formation. They were flashing on and off in an irregular pattern.
